13:10:23, 200, {'Content-Type': 'text/html', 'Content-Length': 8056, 'X-Content-Type-Options': 'nosniff'}, /static/html/MySchedule.html
13:10:23, 200, {'Content-Type': 'text/css', 'Content-Length': 1300, 'X-Content-Type-Options': 'nosniff'}, /static/css/MySchedule.css
13:10:23, 200, {'Content-Type': 'application/javascript', 'Content-Length': 6410, 'X-Content-Type-Options': 'nosniff'}, /static/js/MySchedule.js
13:10:23, 200, {'Content-Type': 'image/png', 'Content-Length': 52512, 'X-Content-Type-Options': 'nosniff'}, /static/img/gophers-mascot.png
13:10:23, 200, {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'}, /static/img/Goldy.png
13:10:23, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:10:35, 200, {'Content-Type': 'text/html', 'Content-Length': 883, 'X-Content-Type-Options': 'nosniff'}, /static/html/stockQuotes.html
13:10:35, 200, {'Content-Type': 'text/css', 'Content-Length': 777, 'X-Content-Type-Options': 'nosniff'}, /static/css/stockquote.css
13:10:35, 200, {'Content-Type': 'application/javascript', 'Content-Length': 12625, 'X-Content-Type-Options': 'nosniff'}, /static/js/stocks.js
13:10:35, 200, {'Content-Type': 'application/javascript', 'Content-Length': 1230, 'X-Content-Type-Options': 'nosniff'}, /static/js/stockquote.js
13:10:36, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:10:36, 200, {'Content-Type': 'text/html', 'Content-Length': 8056, 'X-Content-Type-Options': 'nosniff'}, /static/html/MySchedule.html
13:10:36, 200, {'Content-Type': 'text/css', 'Content-Length': 1300, 'X-Content-Type-Options': 'nosniff'}, /static/css/MySchedule.css
13:10:36, 200, {'Content-Type': 'application/javascript', 'Content-Length': 6410, 'X-Content-Type-Options': 'nosniff'}, /static/js/MySchedule.js
13:10:36, 200, {'Content-Type': 'image/png', 'Content-Length': 52512, 'X-Content-Type-Options': 'nosniff'}, /static/img/gophers-mascot.png
13:10:37, 200, {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'}, /static/img/Goldy.png
